HTC,Nexus 9,flounder,Nexus 9
HTC,Nexus 9 LTE,flounder_lte,Nexus 9
Huawei,Nexus 6P,angler,Nexus 6P
Lenovo,Lenovo VIBE X3 Lite,A7010a48,Lenovo A7010a48
Motorola,Moto G(4) Plus,athene_f,Moto G (4)
Motorola,Nexus 6,shamu,Nexus 6
OnePlus,OnePlus 2,OnePlus2,ONE A2003
OnePlus,OnePlus 3,OnePlus3,ONEPLUS A3000
OnePlus,OnePlus X,OnePlus,ONE E1003
OnePlus,OnePlus2,OnePlus2,ONE A2003
OnePlus,OnePlus3,OnePlus3,ONEPLUS A3000
OnePlus,OnePlus3T,OnePlus3T,ONEPLUS A3000
Oppo,A1601,A1601,A1601
Oppo,A1601fw,A1601,A1601fw
Oppo,A1603,A1603,A1603
Sony,Xperia Z3+,E6553,E6553
Sony,Xperia Z3+ Dual,E6533,E6533
Xiaomi,Redmi 3S,land,Redmi 3S
Xiaomi,Redmi Note 3,hennessy,Redmi Note 3
Xiaomi,Redmi Note 3,kate,Redmi Note 3
Xiaomi,Redmi Note 3,kenzo,Redmi Note 3
Zuk,Lenovo Z2 Plus,z2_plus_hw,ZUK Z2132
